date,spread_level,vix
2019-01-03,4.64,3.2367157429965316
2019-01-04,4.64,3.062455905596899
2019-01-07,4.64,3.0633909220278057
2019-01-08,4.64,3.018960399673198
2019-01-09,4.64,2.9947317732204075
2019-01-10,4.64,2.970414465569701
2019-01-11,4.64,2.900871992530031
2019-01-14,4.64,2.9481164196123277
2019-01-15,4.64,2.9231615807191558
2019-01-16,4.64,2.9465420293632194
2019-01-17,4.64,2.8936995479888394
2019-01-18,4.64,2.8791984572980396
2019-01-21,4.64,2.8791984572980396
2019-01-22,4.64,3.0349529867072724
2019-01-23,4.64,2.9714395809849465
2019-01-24,4.64,2.9386326815134183
2019-01-25,4.64,2.857618971424357
2019-01-28,4.64,2.9375733593804587
2019-01-29,4.64,2.9512577834521614
2019-01-30,4.64,2.8713021951758138
2019-01-31,4.64,2.8075938314384716
2019-02-01,4.64,2.7813006628418027
2019-02-04,4.64,2.7555697170701863
2019-02-05,4.64,2.745345985845907
2019-02-06,4.64,2.733067964077498
2019-02-07,4.64,2.7954503913830435
2019-02-08,4.64,2.7549337870010606
2019-02-11,4.64,2.770711962226921
2019-02-12,4.64,2.7363136663750693
2019-02-13,4.64,2.750470916986162
2019-02-14,4.64,2.7862450486872667
2019-02-15,4.64,2.702032128776647
2019-02-18,4.64,2.702032128776647
2019-02-19,4.64,2.700018029404946
2019-02-20,4.64,2.640484881606444
2019-02-21,4.64,2.671386216730619
2019-02-22,4.64,2.6034301519721073
2019-02-25,4.64,2.6979998652487085
2019-02-26,4.64,2.719319793360441
2019-02-27,4.64,2.6878474937846906
2019-02-28,4.64,2.6932749155200555
2019-03-01,4.64,2.6078614738467776
2019-03-04,4.64,2.683074215032033
2019-03-05,4.64,2.6905648867611904
2019-03-06,4.64,2.756205242989257
2019-03-07,4.64,2.808800104202353
2019-03-08,4.64,2.775708849576025
2019-03-11,4.64,2.6623552418400807
2019-03-12,4.64,2.6224923127405635
2019-03-13,4.64,2.596000697293587
2019-03-14,4.64,2.6026896854443837
2019-03-15,4.64,2.5556757206762075
2019-03-18,4.64,2.5726122302071057
2019-03-19,4.64,2.6071242825122494
2019-03-20,4.64,2.6326080059353516
2019-03-21,4.64,2.612273245708441
2019-03-22,4.64,2.8021475244813256
2019-03-25,4.64,2.7930039069823738
2019-03-26,4.64,2.6864860231863696
2019-03-27,4.64,2.7180005319553784
2019-03-28,4.64,2.6693093727857793
2019-03-29,4.64,2.6181254935742233
2019-04-01,4.64,2.5952547069568657
2019-04-02,4.64,2.5922651681085
2019-04-03,4.64,2.620311286794203
2019-04-04,4.64,2.60859812213055
2019-04-05,4.64,2.551006451492524
2019-04-08,4.64,2.578700529074361
2019-04-09,4.64,2.658859956911438
2019-04-10,4.64,2.5877640352277083
2019-04-11,4.64,2.5664866367804233
2019-04-12,4.64,2.485739636091892
2019-04-15,4.64,2.511223958105374
2019-04-16,4.64,2.4997952622817508
2019-04-17,4.64,2.533696813957432
2019-04-18,4.64,2.492378664626701
2019-04-19,4.64,2.492378664626701
2019-04-22,4.64,2.519308076505333
2019-04-23,4.64,2.5079719227189963
2019-04-24,4.64,2.5756610130564646
2019-04-25,4.64,2.583997552432231
2019-04-26,4.64,2.543961412569315
2019-04-29,4.64,2.5733752977756086
2019-04-30,4.64,2.574137783515943
2019-05-01,4.64,2.6946271807700692
